"RS","ABS","Àmbit","Indicador","Mesura","ABS homes","ABS dones","ABS total","Catalunya homes","Catalunya dones","Catalunya total"
"Barcelona Metropolitana Sud","Abrera","Demogràfic","Població assignada de 0-14 anys","Nombre",1042,944,1986,563490,531360,1094850
"Barcelona Metropolitana Sud","Abrera","Demogràfic","Població assignada de 15-54 anys","Nombre",3487,3227,6714,2090135,2009939,4100074
"Barcelona Metropolitana Sud","Abrera","Demogràfic","Població assignada de 55-64 anys","Nombre",726,681,1407,485653,501618,987271
"Barcelona Metropolitana Sud","Abrera","Demogràfic","Població assignada de 65 anys o més","Nombre",902,1097,1999,631736,839322,1471058
"Barcelona Metropolitana Sud","Abrera","Demogràfic","Població assignada total","Nombre",6157,5949,12106,3771014,3882239,7653253
"Lleida","Agramunt","Demogràfic","Població assignada de 0-14 anys","Nombre",466,487,953,563490,531360,1094850
"Lleida","Agramunt","Demogràfic","Població assignada de 15-54 anys","Nombre",1721,1507,3228,2090135,2009939,4100074
"Lleida","Agramunt","Demogràfic","Població assignada de 55-64 anys","Nombre",493,421,914,485653,501618,987271
"Lleida","Agramunt","Demogràfic","Població assignada de 65 anys o més","Nombre",637,767,1404,631736,839322,1471058
"Lleida","Agramunt","Demogràfic","Població assignada total","Nombre",3317,3182,6499,3771014,3882239,7653253
"Lleida","Alcarràs","Demogràfic","Població assignada de 0-14 anys","Nombre",1215,1112,2327,563490,531360,1094850
"Lleida","Alcarràs","Demogràfic","Població assignada de 15-54 anys","Nombre",4426,3745,8171,2090135,2009939,4100074
"Lleida","Alcarràs","Demogràfic","Població assignada de 55-64 anys","Nombre",943,735,1678,485653,501618,987271
"Lleida","Alcarràs","Demogràfic","Població assignada de 65 anys o més","Nombre",946,1189,2135,631736,839322,1471058
"Lleida","Alcarràs","Demogràfic","Població assignada total","Nombre",7530,6781,14311,3771014,3882239,7653253
"Lleida","Alfarràs - Almenar","Demogràfic","Població assignada de 0-14 anys","Nombre",620,581,1201,563490,531360,1094850
"Lleida","Alfarràs - Almenar","Demogràfic","Població assignada de 15-54 anys","Nombre",2728,2017,4745,2090135,2009939,4100074
"Lleida","Alfarràs - Almenar","Demogràfic","Població assignada de 55-64 anys","Nombre",703,606,1309,485653,501618,987271
"Lleida","Alfarràs - Almenar","Demogràfic","Població assignada de 65 anys o més","Nombre",1024,1233,2257,631736,839322,1471058
"Lleida","Alfarràs - Almenar","Demogràfic","Població assignada total","Nombre",5075,4437,9512,3771014,3882239,7653253
"Lleida","Almacelles","Demogràfic","Població assignada de 0-14 anys","Nombre",631,594,1225,563490,531360,1094850
"Lleida","Almacelles","Demogràfic","Població assignada de 15-54 anys","Nombre",2550,2024,4574,2090135,2009939,4100074
"Lleida","Almacelles","Demogràfic","Població assignada de 55-64 anys","Nombre",670,538,1208,485653,501618,987271
"Lleida","Almacelles","Demogràfic","Població assignada de 65 anys o més","Nombre",848,1029,1877,631736,839322,1471058
"Lleida","Almacelles","Demogràfic","Població assignada total","Nombre",4699,4185,8884,3771014,3882239,7653253
"Catalunya Central","Alt Berguedà","Demogràfic","Població assignada de 0-14 anys","Nombre",297,331,628,563490,531360,1094850
"Catalunya Central","Alt Berguedà","Demogràfic","Població assignada de 15-54 anys","Nombre",1072,906,1978,2090135,2009939,4100074
"Catalunya Central","Alt Berguedà","Demogràfic","Població assignada de 55-64 anys","Nombre",433,420,853,485653,501618,987271
