"Regió sanitària","Àrea bàsica de salut","Àmbit","Indicador","Mesura","Període","ABS homes","ABS dones","ABS total","Catalunya homes","Catalunya dones","Catalunya total"
"Barcelona - Metropolitana Sud","Abrera","Demogràfic","Població assignada de 0-14 anys","Persones","2022",1042,944,1986,563490,531360,1094850
"Barcelona - Metropolitana Sud","Abrera","Demogràfic","Població assignada de 15-54 anys","Persones","2022",3487,3227,6714,2090135,2009939,4100074
"Barcelona - Metropolitana Sud","Abrera","Demogràfic","Població assignada de 55-64 anys","Persones","2022",726,681,1407,485653,501618,987271
"Barcelona - Metropolitana Sud","Abrera","Demogràfic","Població assignada de 65 anys o més","Persones","2022",902,1097,1999,631736,839322,1471058
"Barcelona - Metropolitana Sud","Abrera","Demogràfic","Població assignada total","Persones","2022",6157,5949,12106,3771014,3882239,7653253
"Barcelona - Metropolitana Sud","Abrera","Demogràfic","Índex de sobreenvelliment","Ràtio","2022",11.8,13.2,12.6,13.3,20.1,17.2
"Barcelona - Metropolitana Sud","Abrera","Recursos i ús de serveis","Població assignada i atesa de 0-14 anys","Persones","2022",968,850,1818,490319,461101,951420
"Barcelona - Metropolitana Sud","Abrera","Recursos i ús de serveis","Població assignada i atesa de 15-54 anys","Persones","2022",2743,2844,5587,1491869,1646703,3138572
"Barcelona - Metropolitana Sud","Abrera","Recursos i ús de serveis","Població assignada i atesa de 55-64 anys","Persones","2022",671,637,1308,406344,447653,853997
"Barcelona - Metropolitana Sud","Abrera","Recursos i ús de serveis","Població assignada i atesa de 65 anys o més","Persones","2022",898,1108,2006,612072,818797,1430869
"Barcelona - Metropolitana Sud","Abrera","Recursos i ús de serveis","Població assignada i atesa total","Persones","2022",5280,5439,10719,3000604,3374254,6374858
"Barcelona - Metropolitana Sud","Abrera","Recursos i ús de serveis","Mitjana de visites en el centre de la població assignada i atesa","Visites","2022",4.4,5.1,4.7,3.5,4.2,3.9
"Barcelona - Metropolitana Sud","Abrera","Recursos i ús de serveis","Mitjana de visites domiciliàries de la població assignada i atesa","Visites","2022",0.1,0.2,0.2,0.2,0.3,0.2
"Barcelona - Metropolitana Sud","Abrera","Recursos i ús de serveis","Mitjana de visites telefòniques de la població assignada i atesa","Visites","2022",1.4,1.7,1.6,1.1,1.5,1.3
"Barcelona - Metropolitana Sud","Abrera","Recursos i ús de serveis","Mitjana de visites TIC de la població assignada i atesa","Visites","2022",1.5,2,1.8,1.5,2,1.7
"Barcelona - Metropolitana Sud","Abrera","Recursos i ús de serveis","Mitjana de visites totals de la població assignada i atesa","Visites","2022",7.4,9,8.2,6.2,7.9,7.1
"Lleida","Agramunt","Demogràfic","Població assignada de 0-14 anys","Persones","2022",466,487,953,563490,531360,1094850
"Lleida","Agramunt","Demogràfic","Població assignada de 15-54 anys","Persones","2022",1721,1507,3228,2090135,2009939,4100074
"Lleida","Agramunt","Demogràfic","Població assignada de 55-64 anys","Persones","2022",493,421,914,485653,501618,987271
"Lleida","Agramunt","Demogràfic","Població assignada de 65 anys o més","Persones","2022",637,767,1404,631736,839322,1471058
"Lleida","Agramunt","Demogràfic","Població assignada total","Persones","2022",3317,3182,6499,3771014,3882239,7653253
"Lleida","Agramunt","Demogràfic","Índex de sobreenvelliment","Ràtio","2022",21.7,26.3,24.2,13.3,20.1,17.2
"Lleida","Agramunt","Recursos i ús de serveis","Població assignada i atesa de 0-14 anys","Persones","2022",447,480,927,490319,461101,951420
"Lleida","Agramunt","Recursos i ús de serveis","Població assignada i atesa de 15-54 anys","Persones","2022",1452,1370,2822,1491869,1646703,3138572
"Lleida","Agramunt","Recursos i ús de serveis","Població assignada i atesa de 55-64 anys","Persones","2022",448,403,851,406344,447653,853997
"Lleida","Agramunt","Recursos i ús de serveis","Població assignada i atesa de 65 anys o més","Persones","2022",611,742,1353,612072,818797,1430869
